date;experimentId;experimentVariant;product;deviceCategory;userType;channel;goalID;sessions;users;conversions
01.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;919;397;70
01.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;mobile;Returning Visitor;channel1;goal1;492;231;24
02.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;desktop;Returning Visitor;channel1;goal1;777;366;44
02.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;880;383;90
03.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;desktop;Returning Visitor;channel1;goal1;673;323;53
03.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;772;355;46
04.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;508;258;56
05.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;488;228;42
07.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;desktop;Returning Visitor;channel1;goal1;452;240;44
08.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;desktop;Returning Visitor;channel1;goal1;808;378;41
08.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;850;399;50
09.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;desktop;Returning Visitor;channel1;goal1;763;353;43
09.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;811;373;38
10.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;desktop;Returning Visitor;channel1;goal1;745;372;34
10.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;784;365;36
11.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;desktop;Returning Visitor;channel1;goal1;807;374;43
11.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;839;386;49
12.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;desktop;Returning Visitor;channel1;goal1;666;326;50
12.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;742;351;35
15.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;desktop;Returning Visitor;channel1;goal1;845;389;48
15.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;870;394;65
16.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;desktop;Returning Visitor;channel1;goal1;838;416;55
16.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;887;401;50
17.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;desktop;Returning Visitor;channel1;goal1;875;422;57
17.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;897;407;49
18.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;desktop;Returning Visitor;channel1;goal1;770;390;38
18.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;792;369;45
19.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;desktop;Returning Visitor;channel1;goal1;771;374;49
19.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;787;369;54
21.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;484;232;39
22.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;936;420;45
23.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;desktop;Returning Visitor;channel1;goal1;805;390;32
23.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;941;417;59
24.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;desktop;Returning Visitor;channel1;goal1;781;363;40
24.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;814;376;58
25.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;desktop;Returning Visitor;channel1;goal1;733;346;44
25.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;882;408;40
26.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;793;364;42
28.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;512;245;55
29.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;desktop;Returning Visitor;channel1;goal1;801;372;53
29.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;995;431;65
27.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;426;213;43
12.09.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;mobile;Returning Visitor;channel1;goal1;98;58;0
13.09.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;mobile;Returning Visitor;channel1;goal1;105;60;0
14.09.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;mobile;Returning Visitor;channel1;goal1;114;71;0
15.09.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;mobile;Returning Visitor;channel1;goal1;155;94;0
16.09.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;mobile;New Visitor;channel1;goal1;51;51;0
19.09.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;mobile;New Visitor;channel1;goal1;62;62;0
01.10.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;mobile;Returning Visitor;channel1;goal1;221;116;0
01.10.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;mobile;New Visitor;channel1;goal1;31;31;0
12.10.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;desktop;New Visitor;channel1;goal1;20;20;0
18.10.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;desktop;New Visitor;channel1;goal1;31;31;0
23.10.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;mobile;New Visitor;channel1;goal1;50;50;0
24.10.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;mobile;New Visitor;channel1;goal1;53;53;0
26.10.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;mobile;New Visitor;channel1;goal1;52;52;0
30.10.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;mobile;New Visitor;channel1;goal1;52;52;0
31.10.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;mobile;New Visitor;channel1;goal1;66;66;0
03.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;New Visitor;channel1;goal1;20;20;0
04.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;mobile;New Visitor;channel1;goal1;50;50;0
21.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;mobile;New Visitor;channel1;goal1;53;53;0
24.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;mobile;New Visitor;channel1;goal1;31;31;0
25.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;mobile;New Visitor;channel1;goal1;47;47;0
29.11.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;mobile;New Visitor;channel1;goal1;31;31;0
24.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;tablet;New Visitor;channel1;goal1;1;1;0
24.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;tablet;Returning Visitor;channel1;goal1;1;1;0
10.09.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;tablet;New Visitor;channel1;goal1;1;1;0
10.09.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;tablet;Returning Visitor;channel1;goal1;2;1;0
11.09.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;tablet;New Visitor;channel1;goal1;1;1;0
11.09.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;tablet;Returning Visitor;channel1;goal1;1;1;0
11.09.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;tablet;New Visitor;channel1;goal1;1;1;0
14.09.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;tablet;New Visitor;channel1;goal1;1;1;0
15.09.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;tablet;New Visitor;channel1;goal1;1;1;0
15.09.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;tablet;Returning Visitor;channel1;goal1;1;1;0
16.09.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;tablet;New Visitor;channel1;goal1;1;1;0
16.09.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;tablet;Returning Visitor;channel1;goal1;1;1;0
