date,experimentId,experimentVariant,deviceCategory,userType,sessions,users,transactionRevenue,transactions,addToCart
2021-11-10,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,0,desktop,Returning Visitor,745,372,0.49508040000000003,34,19.0
2021-11-10,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,784,365,0.52235699,36,22.0
2021-11-11,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,0,desktop,Returning Visitor,807,374,0.6477018,43,13.0
2021-11-11,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,839,386,0.59500536,49,8.0
2021-11-12,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,0,desktop,Returning Visitor,666,326,0.54422571,50,21.0
2021-11-12,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,742,351,0.32198749,35,35.0
2021-11-15,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,0,desktop,Returning Visitor,845,389,0.8189498199999999,48,24.0
2021-11-15,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,870,394,1.1398496299999998,65,6.0
2021-11-16,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,0,desktop,Returning Visitor,838,416,0.8492353,55,6.0
2021-11-16,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,887,401,0.40969532000000003,50,25.0
2021-11-17,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,0,desktop,Returning Visitor,875,422,1.22007186,57,30.0
2021-11-17,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,897,407,0.9422335,49,3.0
2021-11-18,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,0,desktop,Returning Visitor,770,390,0.5555150400000001,38,25.0
2021-11-18,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,792,369,0.75849271,45,4.0
2021-11-19,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,0,desktop,Returning Visitor,771,374,0.8859080899999999,49,36.0
2021-11-19,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,787,369,0.82333106,54,13.0
2021-11-21,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,484,232,0.48705689,39,3.0
